date | value

2011-01-01 | 1000
2012-04-02 | 1000
2014-05-12 | 1000
2021-12-09 | 1000












2022-09-14 | 90
2022-09-14 | 537
2022-09-14 | 932
2022-09-14 | 403
2022-09-14 | 259
2022-13-01 | 777.76
2022-13-01 | 578.0
2022-13-01 | 917.85
2022-12-32 | 30.33 
2022-12-32 | 753.13
2022-12-32 | 27.3
2022/09/14 | 259.32 
2022/09/14 | 876.54
2022/09/14 | 678.06
2022-09-14 , 460.75 
2022-09-14 , 576.38
2022-09-14 , 846.25
2022-09-14 | -404.34
2022-09-14 | -630.78
2022-09-14 | -115.45




2590-01-23 | 4



2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
